customerID,risk_score,ensemble_probability,gb_probability,rf_probability,lr_probability,risk_level,monthly_revenue,annual_revenue_risk,tenure_months,contract_type,payment_method,actual_churn,priority_rank,churn_drivers,recommended_action
5178-LMXOP,93.5,0.935,0.9128,0.9624,0.9496,Critical,95.1,1141.2,1,Month-to-month,Electronic check,1,2,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1069-XAIEM,91.4,0.9135,0.8893,0.9371,0.9387,Critical,85.05,1020.6,1,Month-to-month,Electronic check,1,12,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6861-XWTWQ,91.0,0.9101,0.8818,0.9356,0.9428,Critical,99.25,1191.0,7,Month-to-month,Electronic check,1,16,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5150-ITWWB,90.3,0.9035,0.8668,0.9331,0.9508,Critical,94.85,1138.2,3,Month-to-month,Electronic check,0,30,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2609-IAICY,90.2,0.9024,0.8912,0.9267,0.894,Critical,77.15,925.8,1,Month-to-month,Electronic check,1,33,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6023-YEBUP,90.1,0.9014,0.8793,0.9156,0.9353,Critical,100.95,1211.4,3,Month-to-month,Electronic check,1,37,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6857-VWJDT,90.1,0.9006,0.8903,0.926,0.8884,Critical,95.65,1147.8,1,Month-to-month,Mailed check,1,38,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6521-YYTYI,90.0,0.9003,0.8697,0.929,0.9337,Critical,93.3,1119.6,1,Month-to-month,Electronic check,1,39,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9057-SIHCH,89.4,0.894,0.8558,0.9326,0.9318,Critical,96.6,1159.2,3,Month-to-month,Electronic check,1,70,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4415-IJZTP,89.2,0.8922,0.872,0.9151,0.9083,Critical,74.5,894.0,1,Month-to-month,Electronic check,1,73,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8375-DKEBR,89.2,0.8924,0.8598,0.9412,0.9005,Critical,69.6,835.2,1,Month-to-month,Electronic check,1,79,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2865-TCHJW,89.1,0.891,0.8534,0.9228,0.937,Critical,89.2,1070.4,4,Month-to-month,Electronic check,1,86,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5539-TMZLF,89.0,0.89,0.8562,0.9407,0.8985,Critical,69.75,837.0,1,Month-to-month,Electronic check,1,87,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6372-RFVNS,88.4,0.8838,0.8633,0.9187,0.8825,Critical,78.8,945.6,1,Month-to-month,Electronic check,1,105,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3722-WPXTK,88.3,0.8826,0.8378,0.9265,0.9286,Critical,88.35,1060.2,1,Month-to-month,Electronic check,1,106,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0679-IDSTG,88.2,0.8816,0.8559,0.9257,0.8798,Critical,69.25,831.0,1,Month-to-month,Electronic check,1,114,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7180-PISOG,88.0,0.88,0.8588,0.9115,0.8855,Critical,74.5,894.0,1,Month-to-month,Electronic check,1,116,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4078-SAYYN,88.0,0.8799,0.8472,0.9075,0.9205,Critical,100.75,1209.0,11,Month-to-month,Electronic check,1,118,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0970-ETWGE,87.7,0.8772,0.8434,0.9026,0.9236,Critical,89.55,1074.6,1,Month-to-month,Electronic check,1,133,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1820-TQVEV,87.5,0.8751,0.834,0.941,0.8792,Critical,69.55,834.6,1,Month-to-month,Electronic check,1,139,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5542-TBBWB,87.4,0.8743,0.834,0.9395,0.877,Critical,69.9,838.8,1,Month-to-month,Electronic check,0,151,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9804-ICWBG,87.4,0.8743,0.834,0.9395,0.877,Critical,69.9,838.8,1,Month-to-month,Electronic check,1,152,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
